TowID,SurveyType,SurveyYear,StratumID,TowCode,HaulDate,AvgDepth(Fa),StartLatitude_DD,StartLongitude_DD,EndLatitude_DD,EndLongitude_DD,Ratfish_BiomassDensity(kg/ha),Ratfish_IndDensity(ind/ha),,
1462,PRE-INDEX,2007,V,07JWXV25,5/25/2007,68,48.22670,-123.40358,48.22767,-123.41272,172.59,202.75,,CS
1461,PRE-INDEX,2007,V,07JWXV24,5/23/2007,112,48.31147,-124.16847,48.31007,-124.16058,285.09,227.59,,
1460,PRE-INDEX,2007,V,07JWXV23,5/23/2007,92,48.28132,-124.23392,48.27858,-124.22430,32.26,121.45,,
1459,PRE-INDEX,2007,V,07JWXV21,6/7/2007,79,48.20457,-123.50808,48.19927,-123.49905,148.56,132.88,,
1458,PRE-INDEX,2007,V,07JWXV20,5/22/2007,114,48.34222,-124.31848,48.33905,-124.30947,148.35,302.83,,
1457,PRE-INDEX,2007,V,07JWXV19,6/5/2007,91,48.24867,-124.00403,48.24665,-123.99347,166.06,235.65,,
1456,PRE-INDEX,2007,V,07JWXV17,5/23/2007,117,48.33108,-124.22525,48.32903,-124.21320,215.00,223.69,,
1455,PRE-INDEX,2007,V,07JWXV16,6/6/2007,87,48.25390,-123.88222,48.25532,-123.87288,39.81,91.14,,
1454,PRE-INDEX,2007,V,07JWXV15,5/23/2007,108,48.33855,-124.19787,48.34057,-124.20465,174.75,229.86,,
1453,PRE-INDEX,2007,V,07JWXV14,5/24/2007,90,48.23732,-123.73158,48.23317,-123.72170,151.79,108.00,,
1452,PRE-INDEX,2007,V,07JWXV13,6/5/2007,102,48.27055,-123.99327,48.26907,-123.97792,170.58,142.56,,
1451,PRE-INDEX,2007,V,07JWXV12,6/6/2007,90,48.25053,-123.89000,48.25117,-123.88088,81.09,194.00,,
1450,PRE-INDEX,2007,V,07JWXV11,5/25/2007,74,48.22360,-123.43915,48.22058,-123.43197,235.04,270.79,,
1449,PRE-INDEX,2007,V,07JWXV10,6/4/2007,70,48.19473,-123.44173,48.18972,-123.43843,200.21,248.88,,
1448,PRE-INDEX,2007,V,07JWXV8,5/24/2007,104,48.32320,-124.11785,48.32045,-124.10987,290.37,209.23,,
1447,PRE-INDEX,2007,V,07JWXV7,5/24/2007,89,48.26787,-123.87052,48.26455,-123.86168,153.70,289.33,,
1446,PRE-INDEX,2007,V,07JWXV6,5/24/2007,93,48.26037,-123.92670,48.25645,-123.91777,111.22,170.66,,
1445,PRE-INDEX,2007,V,07JWXV5,5/24/2007,106,48.28655,-124.00780,48.28263,-123.99950,224.38,231.89,,
1444,PRE-INDEX,2007,V,07JWXV4,6/5/2007,82,48.22042,-124.05287,48.22332,-124.05853,81.63,193.46,,
1443,PRE-INDEX,2007,V,07JWXV3,5/24/2007,108,48.32082,-124.17270,48.31803,-124.16315,159.12,179.08,,
1442,PRE-INDEX,2007,V,07JWXV2,5/23/2007,111,48.31177,-124.18867,48.30977,-124.17928,246.25,202.58,,
1441,PRE-INDEX,2007,V,07JWXV1,5/22/2007,124,48.35335,-124.30658,48.34983,-124.29917,78.71,57.44,,
1440,PRE-INDEX,2007,U,07JWXU10,6/4/2007,57,48.19620,-123.76255,48.19750,-123.75495,135.55,254.62,,
1439,PRE-INDEX,2007,U,07JWXU9,6/4/2007,42,48.20340,-123.89700,48.20218,-123.90515,31.04,89.59,,
1438,PRE-INDEX,2007,U,07JWXU8,5/21/2007,46,48.20725,-123.91480,48.20912,-123.92375,1.19,2.17,,
1437,PRE-INDEX,2007,U,07JWXU7,5/21/2007,56,48.20608,-123.99853,48.20495,-124.00685,121.79,385.65,,
1436,PRE-INDEX,2007,U,07JWXU6,5/22/2007,45,48.29338,-124.32002,48.29682,-124.32753,152.23,237.83,,
1435,PRE-INDEX,2007,U,07JWXU5,5/21/2007,48,48.18162,-123.70203,48.17890,-123.69512,47.37,47.92,,
1434,PRE-INDEX,2007,U,07JWXU4,6/4/2007,58,48.22530,-124.00422,48.22515,-124.01262,182.77,250.19,,
1433,PRE-INDEX,2007,U,07JWXU3,6/5/2007,50,48.24493,-124.16960,48.24135,-124.16270,57.63,343.60,,
1432,PRE-INDEX,2007,U,07JWXU2,5/22/2007,45,48.29875,-124.32855,48.29557,-124.32162,72.83,116.65,,
1431,PRE-INDEX,2007,U,07JWXU1,6/6/2007,54,48.21302,-123.91778,48.21250,-123.90915,29.41,55.64,,
1430,PRE-INDEX,2007,T,07JWXT5,6/6/2007,29,48.19927,-123.94537,48.19723,-123.93707,44.50,74.26,,
1429,PRE-INDEX,2007,T,07JWXT4,6/6/2007,38,48.17195,-123.68975,48.17307,-123.69750,57.90,117.38,,
1428,PRE-INDEX,2007,T,07JWXT3,6/5/2007,35,48.23767,-124.15988,48.23555,-124.15257,80.13,223.11,,
1427,PRE-INDEX,2007,T,07JWXT2,6/5/2007,35,48.24318,-124.17373,48.24040,-124.16645,43.05,150.89,,
1426,PRE-INDEX,2007,T,07JWXT1,5/22/2007,30,48.30650,-124.38827,48.30942,-124.39798,180.16,478.61,,
1425,PRE-INDEX,2007,S,07JWXS4,5/21/2007,8,48.14667,-123.48562,48.14517,-123.47712,87.75,94.67,,
1424,PRE-INDEX,2007,S,07JWXS3,6/4/2007,16,48.15528,-123.61568,48.15630,-123.62312,477.49,496.77,,
1423,PRE-INDEX,2007,S,07JWXS2,5/22/2007,14,48.29325,-124.37057,48.29387,-124.37807,32.58,58.64,,
1422,PRE-INDEX,2007,S,07JWXS1,6/7/2007,14,48.15490,-123.58218,48.15803,-123.57457,1283.52,509.01,,
1421,PRE-INDEX,2007,V,07JEXV15,5/9/2007,70,48.33158,-123.03083,48.33675,-123.02488,108.92,325.46,,
